,image_id,asymmetry,border,colour
123,ISIC_0000136,0.184,10762.383,4305.11797940542
124,ISIC_0000137,0.185,5603.658,855.5794577646546
125,ISIC_0000138,0.201,2707.074,1086.1551631876162
126,ISIC_0000139,0.133,6489.835,1130.5848764927844
127,ISIC_0000140,0.166,12042.539,2744.8650191842084
128,ISIC_0000141,0.334,4109.119,1418.5190723794442
129,ISIC_0000142,0.1,3435.214,2245.6685818201
130,ISIC_0000143,0.248,5835.397,1771.4973082438257
131,ISIC_0000145,0.091,3657.345,589.8832285715858
132,ISIC_0000146,0.126,4324.979,1765.8681974619315
133,ISIC_0000147,0.094,5891.633,1752.6237200590713
134,ISIC_0000148,0.33,8794.317,1453.2522881285524
135,ISIC_0000149,0.079,5540.574,1344.1131230636734
136,ISIC_0000150,0.258,9686.661,1542.8484984309455
137,ISIC_0000151,0.332,3816.281,1424.7257918160158
138,ISIC_0000152,0.114,6579.937,1042.7517100791777
139,ISIC_0000153,0.212,11997.034,634.4168431183226
140,ISIC_0000154,0.36,5526.603,849.0296712813698
141,ISIC_0000155,0.099,11030.757,2756.299833922853
142,ISIC_0000156,0.44,11480.549,1605.7779908380471
143,ISIC_0000157,0.123,1235.317,1895.231256963111
144,ISIC_0000159,0.122,1346.83,3774.943945519075
145,ISIC_0000160,0.356,1102.498,1575.918515265189
146,ISIC_0000161,0.273,2439.363,3531.60581959594
147,ISIC_0000162,0.164,1602.579,1895.5934320967408
148,ISIC_0000163,0.392,1817.21,3607.1990931606724
149,ISIC_0000164,0.226,854.15,1849.2558429381086
150,ISIC_0000165,0.316,958.349,2480.939249957106
151,ISIC_0000166,0.121,1028.138,3638.702642892827
152,ISIC_0000167,0.218,1167.629,3292.5448660294564
153,ISIC_0000169,0.164,2137.999,1416.279039722485
154,ISIC_0000171,0.182,2792.247,2508.774282035167
155,ISIC_0000172,0.272,1512.284,1729.3465626006164
156,ISIC_0000174,0.27,1665.134,2122.0526825924176
157,ISIC_0000176,0.165,1091.213,1550.461811614987
158,ISIC_0000177,0.117,602.715,1495.4551554282277
159,ISIC_0000179,0.211,5988.959,1758.1569631454943
160,ISIC_0000181,0.117,1536.734,1819.2076391501166
161,ISIC_0000182,0.048,1677.891,1189.3396764903955
162,ISIC_0000184,0.135,1458.948,1803.638392254172
163,ISIC_0000185,0.209,1000.354,798.6657562990193
164,ISIC_0000186,0.049,205.223,1578.5421892935144
165,ISIC_0000188,0.184,3755.442,816.1434481054534
166,ISIC_0000189,0.134,2227.86,1286.3240468578897
167,ISIC_0000190,0.202,1239.21,2486.1266911367948
168,ISIC_0000191,0.108,764.521,1477.4884973708313
169,ISIC_0000192,0.217,3016.416,2129.527693127532
170,ISIC_0000193,0.176,757.421,1939.2907642815592
171,ISIC_0000196,0.216,3550.3,2992.466063306079
172,ISIC_0000197,0.161,4537.232,2552.5124469984235
173,ISIC_0000198,0.066,542.244,434.5558488340658
174,ISIC_0000199,0.062,716.54,1490.1322826701264
175,ISIC_0000201,0.099,680.924,2124.359335313235
176,ISIC_0000202,0.063,2792.456,1799.4752386356047
177,ISIC_0000203,0.035,418.775,1609.3081919036597
178,ISIC_0000204,0.13,3884.501,2437.174831288526
179,ISIC_0000205,0.108,3069.265,2353.7990243668064
180,ISIC_0000206,0.181,4590.254,3123.438301886645
181,ISIC_0000207,0.096,770.459,1270.3411828150722
182,ISIC_0000208,0.121,1240.392,1358.4018985630191
183,ISIC_0000209,0.129,1073.43,1765.0853827745489
184,ISIC_0000211,0.064,321.535,3115.6902746465657
185,ISIC_0000212,0.111,1238.732,2687.860828440937
186,ISIC_0000213,0.147,1096.757,2290.353953267331
187,ISIC_0000214,0.29,3214.83,2809.7437954342226
188,ISIC_0000215,0.09,1567.451,2713.1497555463657
189,ISIC_0000216,0.059,1308.562,1569.4926186941855
190,ISIC_0000217,0.128,929.145,1868.939025231269
191,ISIC_0000218,0.068,1422.111,2961.7229553315324
192,ISIC_0000219,0.263,1574.341,2437.719637259661
193,ISIC_0000220,0.139,417.111,3702.8830615086263
194,ISIC_0000221,0.064,430.416,2872.8440459117724
195,ISIC_0000222,0.114,2208.02,1506.6705070197684
196,ISIC_0000223,0.133,2781.415,1596.301746265043
197,ISIC_0000224,0.091,560.221,2005.7565138957132
198,ISIC_0000225,0.142,514.318,2437.565802511054
199,ISIC_0000226,0.115,1046.383,2725.998930597901
200,ISIC_0000227,0.056,808.157,2070.1175643977945
201,ISIC_0000229,0.238,3644.423,2224.9639359324933
202,ISIC_0000231,0.145,1167.499,1122.3374220769851
203,ISIC_0000232,0.109,553.603,1625.7204521608448
204,ISIC_0000233,0.059,1552.625,1174.2137900922617
205,ISIC_0000234,0.059,1493.783,2165.489923180145
206,ISIC_0000235,0.1,590.05,1994.1894514354274
207,ISIC_0000236,0.131,2619.534,1782.3718892995328
208,ISIC_0000237,0.108,1029.959,1832.6175430468527
209,ISIC_0000239,0.12,1188.872,3490.2196512385617
210,ISIC_0000240,0.091,711.359,1437.0180786422968
211,ISIC_0000242,0.286,3894.568,1287.6877617502748
212,ISIC_0000243,0.082,1263.228,1163.7492514444239
213,ISIC_0000244,0.165,2115.194,1120.6656744661188
214,ISIC_0000245,0.146,1047.777,757.8982002238669
215,ISIC_0000246,0.141,3702.239,881.749422646732
216,ISIC_0000247,0.077,355.785,840.534143279877
217,ISIC_0000250,0.127,1609.706,1222.4459975670998
218,ISIC_0000251,0.2,575.859,2117.0192167574346
219,ISIC_0000252,0.168,914.782,1182.217263589476
220,ISIC_0000253,0.224,216.255,1047.2956063982667
221,ISIC_0000254,0.072,688.447,1545.460450901205
222,ISIC_0000255,0.082,932.102,939.24102133811
223,ISIC_0000256,0.13,282.339,1016.2372780477117
224,ISIC_0000258,0.147,1314.386,1475.522143919061
225,ISIC_0000259,0.116,454.994,510.2408774782427
226,ISIC_0000260,0.134,932.439,931.8798634765826
227,ISIC_0000261,0.066,333.863,781.721483703358
228,ISIC_0000262,0.263,318.472,1147.2038903202877
229,ISIC_0000263,0.218,1154.029,4357.802766345393
230,ISIC_0000264,0.125,1956.55,1849.4101705497476
231,ISIC_0000265,0.199,1246.471,966.6340030646267
232,ISIC_0000268,0.117,1624.237,629.103977665753
233,ISIC_0000269,0.056,542.739,958.9669337912295
234,ISIC_0000274,0.116,1679.331,2525.7249933881626
235,ISIC_0000275,0.217,450.835,1729.8746192992312
236,ISIC_0000276,0.149,1667.468,2522.332209704176
237,ISIC_0000277,0.08,1097.008,1618.0065810369672
238,ISIC_0000278,0.162,1297.845,842.5900179041895
239,ISIC_0000281,0.075,1263.159,1745.615958064863
240,ISIC_0000282,0.151,2846.516,885.7837522082804
241,ISIC_0000283,0.163,1775.001,2536.913655472044
242,ISIC_0000285,0.136,2356.847,1217.1979846998172
243,ISIC_0000288,0.104,1783.841,1839.0041661501637
244,ISIC_0000289,0.177,1451.958,2960.9612024175694
245,ISIC_0000290,0.226,1500.735,1695.4880298845892
246,ISIC_0000292,0.119,1711.793,1199.4938163974318
247,ISIC_0000293,0.174,1102.747,1511.9987279401985
248,ISIC_0000294,0.188,1554.427,1206.0755133265945
249,ISIC_0000295,0.139,873.483,877.9992087020056
250,ISIC_0000297,0.05,134.491,1786.639983129212
251,ISIC_0000298,0.126,313.116,643.6133306159229
252,ISIC_0000299,0.13,369.119,1000.0032465001256
253,ISIC_0000300,0.179,1420.151,1869.8525456209582
254,ISIC_0000301,0.111,567.001,551.1358997024973
255,ISIC_0000302,0.247,1684.455,1570.3189104931282
256,ISIC_0000303,0.094,187.137,1110.7335055027122
257,ISIC_0000306,0.212,638.305,644.3682386323248
258,ISIC_0000307,0.192,565.763,1228.8766955370445
259,ISIC_0000310,0.114,622.717,922.7262346478337
260,ISIC_0000311,0.1,789.221,1354.1537636645535
261,ISIC_0000313,0.164,634.9,1975.2185012758703
262,ISIC_0000314,0.086,885.725,1708.6056059561618
263,ISIC_0000315,0.329,816.823,1838.8902822452685
264,ISIC_0000316,0.321,928.003,2093.3361987652543
265,ISIC_0000317,0.144,66.685,2881.8506459030214
266,ISIC_0000319,0.203,220.544,1455.1966174624338
267,ISIC_0000320,0.157,608.025,1818.203831516418
268,ISIC_0000321,0.093,716.955,1357.7541961757436
269,ISIC_0000322,0.119,294.901,1574.866172312107
270,ISIC_0000323,0.112,224.427,2128.765919512129
271,ISIC_0000324,0.112,740.715,1419.6559052658567
272,ISIC_0000325,0.178,607.32,2032.5111899067867
273,ISIC_0000326,0.163,659.225,1962.2915692309207
274,ISIC_0000327,0.298,602.412,2070.760909224934
275,ISIC_0000328,0.239,1277.566,1899.428088719109
276,ISIC_0000329,0.109,248.199,1972.6164311953198
277,ISIC_0000330,0.201,448.716,2535.8525677121397
278,ISIC_0000331,0.13,553.385,1221.7277078531522
279,ISIC_0000332,0.177,346.774,2158.65283289552
280,ISIC_0000336,0.282,597.147,1613.8652647264596
281,ISIC_0000338,0.273,586.626,2776.478105745666
282,ISIC_0000340,0.108,389.397,1705.7405859126172
283,ISIC_0000341,0.337,1174.352,1841.3434954197662
284,ISIC_0000342,0.097,760.771,2363.601331841693
285,ISIC_0000343,0.131,2351.756,1516.908156828233
286,ISIC_0000344,0.344,1994.607,1580.157342673765
287,ISIC_0000345,0.224,50.756,2054.5370060685473
288,ISIC_0000346,0.3,585.686,1784.2831627940784
289,ISIC_0000347,0.057,169.821,2076.2482957385705
290,ISIC_0000348,0.18,785.881,2585.4893832711246
291,ISIC_0000349,0.124,190.198,1719.0815599841237
292,ISIC_0000350,0.389,1011.559,2369.7999014510456
293,ISIC_0000351,0.127,227.979,1980.1835129074923
294,ISIC_0000352,0.235,227.169,1820.0706138502273
295,ISIC_0000353,0.243,799.72,1505.1414610907593
296,ISIC_0000354,0.186,685.996,1275.517254429629
297,ISIC_0000355,0.187,764.442,1880.5942164620647
298,ISIC_0000357,0.169,320.079,3442.706180706249
299,ISIC_0000358,0.087,212.607,1887.600113391972
300,ISIC_0000359,0.222,948.419,1497.4104999397744
301,ISIC_0000360,0.074,110.79,1364.2476638797568
302,ISIC_0000361,0.205,1137.71,1839.462679865207
303,ISIC_0000363,0.44,902.087,2997.473056927118
304,ISIC_0000364,0.119,1913.868,1424.427072687163
305,ISIC_0000365,0.107,324.248,2366.7909264674945
306,ISIC_0000366,0.332,412.781,2492.217851733722
307,ISIC_0000367,0.079,517.75,3156.184422999019
308,ISIC_0000368,0.075,312.878,1411.3523300949164
309,ISIC_0000369,0.273,1006.32,1219.9527472862633
310,ISIC_0000370,0.11,344.814,2166.1149538626605
311,ISIC_0000371,0.228,1452.816,2264.266360011104
312,ISIC_0000372,0.132,574.368,2342.586594896247
313,ISIC_0000374,0.178,565.238,2682.054533560323
314,ISIC_0000376,0.083,11966.945,943.4914767475178
315,ISIC_0000377,0.149,15950.954,1738.6384027794545
316,ISIC_0000378,0.193,14269.35,715.3610841599593
317,ISIC_0000379,0.331,28530.108,1293.9443033970208
318,ISIC_0000380,0.267,15850.782,1570.8777071907055
319,ISIC_0000381,0.407,22743.132,1769.3689378813197
320,ISIC_0000382,0.338,15408.227,467.03387110342555
321,ISIC_0000383,0.157,8109.534,841.2462927262726
322,ISIC_0000384,0.237,3560.051,1278.8633446506392
323,ISIC_0000385,0.152,13114.02,1202.2894051369021
324,ISIC_0000386,0.14,8236.664,1066.7614057682251
325,ISIC_0000387,0.425,11494.844,728.9361301039511
326,ISIC_0000388,0.041,1930.971,796.7760760184195
327,ISIC_0000390,0.154,16820.57,2606.256520119176
328,ISIC_0000391,0.083,13200.428,471.4838556754398
329,ISIC_0000392,0.137,7093.277,493.71623363488146
330,ISIC_0000393,0.218,30361.093,606.4105210498227
331,ISIC_0000395,0.274,16451.877,621.1338042058827
332,ISIC_0000396,0.094,4010.007,903.0324589792486
333,ISIC_0000397,0.24,20897.266,747.5724405320107
334,ISIC_0000403,0.183,10600.704,630.0920920402958
335,ISIC_0000407,0.259,22430.677,470.2215806608953
336,ISIC_0000408,0.125,15178.001,725.4049952119373
337,ISIC_0000409,0.232,3347.866,1434.1057696659075
338,ISIC_0000410,0.352,28734.154,980.5715597777535
339,ISIC_0000412,0.349,45906.236,820.5409931951754
340,ISIC_0000413,0.225,34124.499,619.5909137363277
341,ISIC_0000415,0.366,93861.533,1040.1371307971751
342,ISIC_0000416,0.162,10534.705,1250.550794591981
343,ISIC_0000418,0.419,27296.069,1140.5829759079004
344,ISIC_0000419,0.518,52385.742,985.7572871340102
345,ISIC_0000420,0.113,19056.01,1456.8647875014112
346,ISIC_0000421,0.131,18256.355,1059.2387895929787
347,ISIC_0000423,0.084,10951.126,802.971349626369
348,ISIC_0000425,0.41,32486.434,641.5397991657715
349,ISIC_0000426,0.46,54071.9,2578.42228442853
350,ISIC_0000427,0.189,19367.99,1868.686763761714
351,ISIC_0000431,0.283,9396.833,1513.981221140224
352,ISIC_0000433,0.52,35058.357,1245.6964443149832
353,ISIC_0000434,0.329,20906.964,1421.7248343510194
354,ISIC_0000436,0.273,20639.053,1031.2038867223007
355,ISIC_0000439,0.128,2874.568,1771.1951738978298
356,ISIC_0000442,0.348,11833.28,1462.7252157476657
357,ISIC_0000443,0.214,2600.452,1125.5622004845472
358,ISIC_0000444,0.214,18564.88,1015.0007390230379
359,ISIC_0000445,0.189,6923.33,1223.510144059318
360,ISIC_0000447,0.263,3262.786,816.8639989120193
361,ISIC_0000448,0.361,15040.147,1249.1614061380358
362,ISIC_0000449,0.248,1712.432,1664.3710625044162
363,ISIC_0000451,0.089,8604.179,1671.2121537765936
364,ISIC_0000453,0.266,18924.234,636.1122371236871
365,ISIC_0000455,0.296,11450.526,705.8526394846339
366,ISIC_0000456,0.143,19283.481,379.2044651325138
367,ISIC_0000457,0.093,972.177,964.4622807040842
368,ISIC_0000458,0.234,1020.357,1301.5349200556216
369,ISIC_0000460,0.357,1470.587,1057.1471836721419
370,ISIC_0000461,0.145,1905.977,909.5397584005942
371,ISIC_0000463,0.09,3773.461,1681.6284981586862
372,ISIC_0000465,0.269,937.475,692.1530891280354
373,ISIC_0000466,0.442,3171.824,1252.4573555156164
374,ISIC_0000467,0.252,4143.622,1802.0371140177285
375,ISIC_0000468,0.204,2418.604,568.2077581222328
376,ISIC_0000469,0.286,3073.329,1025.675024671087
377,ISIC_0000470,0.134,1902.493,1639.4409239861552
378,ISIC_0000471,0.109,655.38,1250.5833066287885
379,ISIC_0000473,0.224,5712.042,776.9450451310125
380,ISIC_0000474,0.282,3813.09,1433.1282253653087
381,ISIC_0000475,0.29,3619.477,1898.4492771033322
382,ISIC_0000476,0.584,10365.91,1909.4357120957957
383,ISIC_0000478,0.153,2768.12,737.767361154315
384,ISIC_0000479,0.272,5009.29,979.6150862187197
385,ISIC_0000480,0.244,1531.964,1718.0635930194055
386,ISIC_0000481,0.241,3816.383,1008.6373996048715
387,ISIC_0000482,0.166,905.716,1243.5774600679738
388,ISIC_0000483,0.128,1520.977,1013.3732737838571
389,ISIC_0000484,0.206,3114.812,1437.551411213232
390,ISIC_0000485,0.275,7210.801,1290.0801356733862
391,ISIC_0000486,0.111,1068.465,1262.6744409589182
392,ISIC_0000487,0.201,4306.45,1666.459882428929
393,ISIC_0000488,0.222,961.228,849.0642712697713
394,ISIC_0000489,0.273,2809.281,1056.741740533922
395,ISIC_0000490,0.106,708.666,832.9083613047142
396,ISIC_0000491,0.137,2288.814,825.4244469853293
397,ISIC_0000492,0.113,707.759,919.6355538429003
398,ISIC_0000493,0.339,2152.894,1025.324156274336
399,ISIC_0000494,0.148,844.409,1179.7904225077616
400,ISIC_0000495,0.127,770.663,1938.389788316517
401,ISIC_0000496,0.129,902.299,1303.4648537733844
402,ISIC_0000498,0.254,1763.609,1319.5487553304067
403,ISIC_0000499,0.491,2866.335,2297.990804942599
404,ISIC_0000500,0.318,852.418,1330.0051982792795
405,ISIC_0000501,0.193,1049.8,712.1525930592842
406,ISIC_0000503,0.19,1473.073,1364.5999051159786
407,ISIC_0000504,0.144,5119.272,548.0690198497626
408,ISIC_0000505,0.414,2607.661,1388.6459437922213
409,ISIC_0000506,0.058,285.328,1236.1927429615343
410,ISIC_0000507,0.293,1773.85,1003.4401899330179
411,ISIC_0000508,0.16,1715.912,1632.9033656781367
412,ISIC_0000509,0.133,1554.417,1150.2785887691525
413,ISIC_0000510,0.164,1015.641,1414.2189135075175
414,ISIC_0000511,0.328,5633.768,1017.8613697124205
415,ISIC_0000513,0.17,968.827,1459.3171943660643
416,ISIC_0000514,0.166,1220.618,1598.4839286719277
417,ISIC_0000515,0.226,1430.794,1590.4187416348268
418,ISIC_0000516,0.434,5762.545,1821.828745944921
419,ISIC_0000517,0.218,2136.148,755.2393730863181
420,ISIC_0000518,0.166,1753.567,1258.712164707052
421,ISIC_0000519,0.119,14242.281,1033.3934915645261
422,ISIC_0000520,0.136,5830.518,833.6696974774355
423,ISIC_0000521,0.065,16220.742,1114.1383241282779
424,ISIC_0000522,0.399,3684.78,1560.5890395569907
425,ISIC_0000523,0.077,698.497,811.197245689535
426,ISIC_0000524,0.285,2228.897,1807.263034998543
427,ISIC_0000525,0.087,1332.839,1188.4411768067282
428,ISIC_0000527,0.322,1717.912,1545.460842464877
429,ISIC_0000528,0.274,1775.526,1127.8305092241105
430,ISIC_0000529,0.354,2745.619,1146.9288175331
431,ISIC_0000530,0.116,1297.684,1617.2555312810957
432,ISIC_0000531,0.223,1883.361,959.8170261705601
433,ISIC_0000532,0.413,2724.049,2232.644060580968
434,ISIC_0000533,0.221,2825.469,1552.8924817720147
435,ISIC_0000534,0.235,2237.446,1856.8342903109112
436,ISIC_0000535,0.114,1182.455,1777.5967251300326
437,ISIC_0000536,0.255,467.647,1715.113050557142
438,ISIC_0000538,0.29,865.544,2278.1916717036806
439,ISIC_0000539,0.4,4125.758,2305.0440421217104
440,ISIC_0000540,0.135,2141.715,788.3983155617829
441,ISIC_0000541,0.135,890.04,971.1151223169924
442,ISIC_0000542,0.135,1237.531,1241.944871247292
443,ISIC_0000543,0.126,916.907,634.6798200402208
444,ISIC_0000544,0.225,1222.607,937.7898203934723
445,ISIC_0000545,0.085,937.375,1389.456171531611
446,ISIC_0000546,0.334,1920.878,1214.2325415691191
447,ISIC_0000547,0.261,3994.562,1584.524322625982
448,ISIC_0000548,0.275,2556.432,1143.2072240168084
449,ISIC_0000549,0.273,7075.301,1499.5625391194735
450,ISIC_0000550,0.241,2732.631,1345.9780070243162
451,ISIC_0000551,0.208,3955.66,928.233909836936
452,ISIC_0000552,0.104,1405.008,1478.537550664224
453,ISIC_0000554,0.259,2508.107,1542.6720217964041
454,ISIC_0000555,0.348,1299.306,1255.9318556154303
455,ISIC_0000556,0.165,1769.538,1174.8749265988233
456,ISIC_0000882,0.08,1606.861,526.6992786308173
457,ISIC_0000900,0.072,1827.466,587.0507637975389
458,ISIC_0000999,0.116,3630.33,698.87502681282
459,ISIC_0001100,0.273,4229.749,1645.1642170643254
460,ISIC_0001102,0.152,41423.538,1198.2168620585858
461,ISIC_0001103,0.253,23154.293,1191.221375642459
462,ISIC_0001105,0.076,6898.779,969.3091519871241
463,ISIC_0001118,0.188,56171.439,1457.0852558476433
464,ISIC_0001119,0.262,1362.29,1263.2367720704826
465,ISIC_0001126,0.392,13727.312,519.3288751944028
466,ISIC_0001128,0.348,10504.929,1153.836408600796
467,ISIC_0001131,0.369,41452.565,2615.8347555686682
468,ISIC_0001133,0.107,6729.945,1120.358515488955
469,ISIC_0001134,0.385,6526.884,1942.9363661546474
470,ISIC_0001140,0.168,7412.22,2179.5729320705736
471,ISIC_0001142,0.266,27801.034,583.1378282492802
472,ISIC_0001148,0.149,38779.968,1013.1399781545506
473,ISIC_0001152,0.203,12632.105,1375.887344023893
474,ISIC_0001960,0.26,3755.312,908.3395811180671
475,ISIC_0002093,0.201,7604.012,357.87272503475924
476,ISIC_0002107,0.097,3512.644,752.285322496073
477,ISIC_0002206,0.073,1108.843,538.1499017719735
478,ISIC_0002246,0.06,1517.701,640.0912160945653
479,ISIC_0002251,0.311,2749.609,695.792347317796
480,ISIC_0002287,0.139,5892.821,793.0517844114455
481,ISIC_0002353,0.196,3283.284,799.3845789232336
482,ISIC_0002374,0.186,2805.808,791.8781544382799
483,ISIC_0002438,0.092,2627.612,968.1694271387618
484,ISIC_0002439,0.125,4909.359,922.8465045023545
485,ISIC_0002453,0.242,3483.719,1187.1966133715478
486,ISIC_0002459,0.241,1979.405,832.0113242483627
487,ISIC_0002469,0.242,4550.036,839.5377913711941
488,ISIC_0002476,0.31,2457.728,591.4300953131025
489,ISIC_0002488,0.148,3224.403,733.4554378761522
490,ISIC_0002489,0.116,3508.841,873.2641601724362
491,ISIC_0002616,0.138,1168.25,651.7327277267133
492,ISIC_0002647,0.123,4475.022,896.8762876179409
493,ISIC_0002673,0.396,5157.11,1317.30743465748
494,ISIC_0002780,0.236,3282.912,744.5353235385707
